Date,Junk Bond Demand
2020-07-14,2.2326
2020-07-15,2.2413000000000003
2020-07-16,2.2169
2020-07-17,2.2161999999999997
2020-07-20,2.2095
2020-07-21,2.1943
2020-07-22,2.1723999999999997
2020-07-23,2.1662
2020-07-24,2.1679
2020-07-27,2.1633999999999998
2020-07-28,2.1498999999999997
2020-07-29,2.1525
2020-07-30,2.1362
2020-07-31,1.9529
2020-08-03,1.9489000000000003
2020-08-04,2.1339
2020-08-05,2.1494000000000004
2020-08-06,2.1370000000000005
2020-08-07,2.1445000000000003
2020-08-10,2.1405
2020-08-11,2.139
2020-08-12,2.1127000000000002
2020-08-13,2.1174
2020-08-14,2.1115
2020-08-17,2.1161
2020-08-18,2.118
2020-08-19,2.1146
2020-08-20,2.1111
2020-08-21,2.1195999999999997
2020-08-24,2.1221
2020-08-25,2.1117999999999997
2020-08-26,2.0877000000000003
2020-08-27,2.077
2020-08-28,2.05
2020-08-31,2.0497
2020-09-01,1.8825
2020-09-02,2.0898
2020-09-03,2.0981000000000005
2020-09-04,2.1087
2020-09-08,2.0869000000000004
2020-09-09,2.1088000000000005
2020-09-10,2.0952
2020-09-11,2.1015
2020-09-14,2.1101999999999994
2020-09-15,2.1126
2020-09-16,2.1073
2020-09-17,2.1001000000000003
2020-09-18,2.1132
2020-09-21,2.1093
2020-09-22,2.1402
2020-09-23,2.1548
2020-09-24,2.1567
2020-09-25,2.1772
2020-09-28,2.1665000000000005
2020-09-29,2.1485
2020-09-30,1.9819
2020-10-01,1.962
2020-10-02,2.1793000000000005
2020-10-05,2.1786999999999996
2020-10-06,2.1477
2020-10-07,2.143
2020-10-08,2.1287
2020-10-09,2.1253
2020-10-12,2.1202999999999994
2020-10-13,2.1186
2020-10-14,2.1269
2020-10-15,2.1293
2020-10-16,2.1403000000000003
2020-10-19,2.1341
2020-10-20,2.1275
2020-10-21,2.1142
2020-10-22,2.1139
2020-10-23,2.1085999999999996
2020-10-26,2.1127999999999996
2020-10-27,2.1359000000000004
2020-10-28,2.1515
2020-10-29,2.1814
2020-10-30,2.1664000000000003
2020-11-02,1.9895
2020-11-03,2.2205
2020-11-04,2.1965
2020-11-05,2.1811
2020-11-06,2.1618
2020-11-09,2.1622000000000003
2020-11-10,2.0907
2020-11-11,2.1005999999999996
2020-11-12,2.1001
2020-11-13,2.1395
2020-11-16,2.1414999999999997
2020-11-17,2.1281
2020-11-18,2.1346
2020-11-19,2.1334000000000004
2020-11-20,2.1468
2020-11-23,2.1555
2020-11-24,2.142
2020-11-25,2.1223
2020-11-27,2.1222
2020-11-30,2.1334000000000004
2020-12-01,1.9915000000000003
2020-12-02,2.1771
2020-12-03,2.1710000000000003
2020-12-04,2.1702999999999997
2020-12-07,2.1454
2020-12-08,2.1487000000000003
2020-12-09,2.1455
2020-12-10,2.135
2020-12-11,2.1485
2020-12-14,2.1502
2020-12-15,2.148
2020-12-16,2.148
2020-12-17,2.1418
2020-12-18,2.1441
2020-12-21,2.2438
2020-12-22,2.2556
2020-12-23,2.2584
2020-12-24,2.2453000000000003
2020-12-28,2.2533
2020-12-29,2.2361000000000004
2020-12-30,2.2354999999999996
2020-12-31,2.2343
2021-01-04,2.2425000000000006
2021-01-05,2.2348
2021-01-06,2.2177
2021-01-07,2.1885
2021-01-08,2.1865
2021-01-11,2.1817
2021-01-12,2.1828
2021-01-13,2.1887
2021-01-14,2.201
2021-01-15,2.1881
2021-01-19,2.1913
2021-01-20,2.1907
2021-01-21,2.1855
2021-01-22,2.175
2021-01-25,2.1822999999999997
2021-01-26,2.1906000000000003
2021-01-27,2.1893999999999996
2021-01-28,2.1893999999999996
2021-01-29,2.1893999999999996
2021-02-01,2.1883
2021-02-02,2.1938999999999997
2021-02-03,2.1783000000000006
2021-02-04,2.164
2021-02-05,2.1602
2021-02-08,2.1478000000000006
2021-02-09,2.1485
2021-02-10,2.1454
2021-02-11,2.1523
2021-02-12,2.1455
2021-02-16,2.1336
2021-02-17,2.1189999999999998
2021-02-18,2.1306000000000003
2021-02-19,2.1336000000000004
2021-02-22,2.1175
2021-02-23,2.1057
2021-02-24,2.1031
2021-02-25,2.1004
2021-02-26,2.0903
2021-03-01,2.1341
2021-03-02,2.0946
2021-03-03,2.0982
2021-03-04,2.0883
2021-03-05,2.0832999999999995
2021-03-08,2.0797000000000003
2021-03-09,2.0719
2021-03-10,2.0872
2021-03-11,2.0945
2021-03-12,2.077
2021-03-15,2.063
2021-03-16,2.0673999999999997
2021-03-17,2.0685999999999996
2021-03-18,2.0685999999999996
2021-03-19,2.0679999999999996
2021-03-22,2.0792
2021-03-23,2.0792
2021-03-24,2.0794
2021-03-25,2.0736
2021-03-26,2.0701
2021-03-29,2.0625999999999993
2021-03-30,2.0526
2021-03-31,2.0622
2021-04-01,1.8518
2021-04-05,2.0144
2021-04-06,1.9986999999999997
2021-04-07,1.9985000000000004
2021-04-08,1.9915999999999996
2021-04-09,1.9979
2021-04-12,1.9955
2021-04-13,1.9985000000000004
2021-04-14,2.0113
2021-04-15,2.0066
2021-04-16,2.0122
2021-04-19,1.9965
2021-04-20,1.9926
2021-04-21,2.0076
2021-04-22,2.0088
2021-04-23,2.012
2021-04-26,2.0071
2021-04-27,2.0048000000000004
2021-04-28,1.9926000000000004
2021-04-29,1.9939000000000002
2021-04-30,1.9878
2021-05-03,1.8111000000000002
2021-05-04,1.9601000000000004
2021-05-05,1.9718
2021-05-06,1.9716
2021-05-07,1.9731999999999996
2021-05-10,1.9689
2021-05-11,1.9574000000000005
2021-05-12,1.9617
2021-05-13,1.9573
2021-05-14,1.9631
2021-05-17,1.9685
2021-05-18,1.9717999999999996
2021-05-19,1.9669
2021-05-20,1.9705
2021-05-21,1.9804
2021-05-24,1.9814
2021-05-25,1.9828999999999997
2021-05-26,1.9913999999999998
2021-05-27,1.9860000000000002
2021-05-28,1.9780999999999997
2021-06-01,1.8561
2021-06-02,1.9949
2021-06-03,1.9943
2021-06-04,1.9878999999999998
2021-06-07,1.9996000000000003
2021-06-08,1.9966
2021-06-09,2.0002999999999997
2021-06-10,2.0033
2021-06-11,2.0115
2021-06-14,2.0084
2021-06-15,1.9999
2021-06-16,2.0005
2021-06-17,1.9962000000000004
2021-06-18,2.0162999999999998
2021-06-21,2.0364
2021-06-22,2.0145999999999997
2021-06-23,2.0154
2021-06-24,2.0086
2021-06-25,2.0071
2021-06-28,1.9956
2021-06-29,2.0052
2021-06-30,2.0047
2021-07-01,1.8441000000000003
2021-07-02,1.9892
2021-07-06,1.9932999999999996
2021-07-07,2.0027000000000004
2021-07-08,2.0042
2021-07-09,2.0121
2021-07-12,1.9967
2021-07-13,1.9936
2021-07-14,1.9869
2021-07-15,2.0035
2021-07-16,2.0151999999999997
2021-07-19,2.0136
2021-07-20,2.0517000000000003
2021-07-21,2.0359
2021-07-22,2.0162
2021-07-23,2.0228
2021-07-26,2.0175
2021-07-27,2.0134999999999996
2021-07-28,2.0278
2021-07-29,2.0311
2021-07-30,2.023
2021-08-02,2.0269000000000004
2021-08-03,2.0158
2021-08-04,2.0214000000000003
2021-08-05,2.0265
2021-08-06,2.016
2021-08-09,1.9968999999999997
2021-08-10,1.9939000000000002
2021-08-11,1.9917999999999998
2021-08-12,1.9960000000000002
2021-08-13,1.9955999999999998
2021-08-16,2.0096000000000003
2021-08-17,2.0131
2021-08-18,2.0105
2021-08-19,2.0084
2021-08-20,2.0175
2021-08-23,2.0149
2021-08-24,2.0092
2021-08-25,1.9959
2021-08-26,1.9841
2021-08-27,1.9853
2021-08-30,1.9860000000000002
2021-08-31,1.9839000000000002
2021-09-01,1.8059000000000003
2021-09-02,1.953
2021-09-03,1.9532000000000005
2021-09-07,1.9447
2021-09-08,1.9379999999999997
2021-09-09,1.944
2021-09-10,1.9552999999999996
2021-09-13,1.9466
2021-09-14,1.9497000000000004
2021-09-15,1.9593
2021-09-16,1.9517999999999998
2021-09-17,1.9488
2021-09-20,1.9449
2021-09-21,1.9689
2021-09-22,1.9631
2021-09-23,1.9632
2021-09-24,1.9448999999999999
2021-09-27,1.9441999999999997
2021-09-28,1.9443999999999997
2021-09-29,1.9376
2021-09-30,1.9346999999999996
2021-10-01,1.7456999999999998
2021-10-04,1.9046
2021-10-05,1.9055
2021-10-06,1.8981
2021-10-07,1.9103
2021-10-08,1.8933000000000002
2021-10-11,1.8893999999999997
2021-10-12,1.8892999999999998
2021-10-13,1.9089
2021-10-14,1.9174
2021-10-15,1.9122000000000003
2021-10-18,1.9034000000000002
2021-10-19,1.9078
2021-10-20,1.8926
2021-10-21,1.8854
2021-10-22,1.8825000000000005
2021-10-25,1.8955000000000004
2021-10-26,1.8979
2021-10-27,1.9062000000000003
2021-10-28,1.9209
2021-10-29,1.912
2021-11-01,1.9160999999999997
2021-11-02,1.8419
2021-11-03,1.8461
2021-11-04,1.8417
2021-11-05,1.8444999999999996
2021-11-08,1.8451
2021-11-09,1.8366999999999998
2021-11-10,1.8461999999999996
2021-11-11,1.8326
2021-11-12,1.8324
2021-11-15,1.8319999999999996
2021-11-16,1.8224
2021-11-17,1.8211
2021-11-18,1.8306
2021-11-19,1.8355
2021-11-22,1.8446999999999998
2021-11-23,1.8334999999999997
2021-11-24,1.8332000000000006
2021-11-26,1.8505
2021-11-29,1.8983999999999996
2021-11-30,1.8763000000000003
2021-12-01,1.7003
2021-12-02,1.85
2021-12-03,1.8442
2021-12-06,1.8576000000000001
2021-12-07,1.8351
2021-12-08,1.8094
2021-12-09,1.7981999999999998
2021-12-10,1.8054999999999999
2021-12-13,1.8056000000000003
2021-12-14,1.8182000000000005
2021-12-15,1.8163000000000002
2021-12-16,1.8062
2021-12-17,1.7574000000000003
2021-12-20,1.7657000000000003
2021-12-21,1.7607
2021-12-22,1.7462000000000002
2021-12-23,1.7452000000000003
2021-12-27,1.7323
2021-12-28,1.7282000000000002
2021-12-29,1.7258000000000002
2021-12-30,1.7167
2021-12-31,1.7259
2022-01-03,1.7287
2022-01-04,1.7075999999999998
2022-01-05,1.7119000000000002
2022-01-06,1.7152
2022-01-07,1.7224
2022-01-10,1.7238000000000002
2022-01-11,1.7277999999999998
2022-01-12,1.7175
2022-01-13,1.7064999999999997
