"Date,,,,Market Momentum"
2020-07-14,,,,3197.52
2020-07-15,,,,3226.56
2020-07-16,,,,3215.57
2020-07-17,,,,3224.73
2020-07-20,,,,3251.84
2020-07-21,,,,3257.3
2020-07-22,,,,3276.02
2020-07-23,,,,3235.66
2020-07-24,,,,3215.63
2020-07-27,,,,3239.41
2020-07-28,,,,3218.44
2020-07-29,,,,3258.44
2020-07-30,,,,3246.22
2020-07-31,,,,3271.12
2020-08-03,,,,3294.61
2020-08-04,,,,3306.51
2020-08-05,,,,3327.77
2020-08-06,,,,3349.16
2020-08-07,,,,3351.28
2020-08-10,,,,3360.47
2020-08-11,,,,3333.69
2020-08-12,,,,3380.35
2020-08-13,,,,3373.43
2020-08-14,,,,3372.85
2020-08-17,,,,3381.99
2020-08-18,,,,3389.78
2020-08-19,,,,3374.85
2020-08-20,,,,3385.51
2020-08-21,,,,3397.16
2020-08-24,,,,3431.28
2020-08-25,,,,3443.62
2020-08-26,,,,3478.73
2020-08-27,,,,3484.55
2020-08-28,,,,3508.01
2020-08-31,,,,3500.31
2020-09-01,,,,3526.65
2020-09-02,,,,3580.84
2020-09-03,,,,3455.06
2020-09-04,,,,3426.96
2020-09-08,,,,3331.84
2020-09-09,,,,3398.96
2020-09-10,,,,3339.19
2020-09-11,,,,3340.97
2020-09-14,,,,3383.54
2020-09-15,,,,3401.2
2020-09-16,,,,3385.49
2020-09-17,,,,3357.01
2020-09-18,,,,3319.47
2020-09-21,,,,3281.06
2020-09-22,,,,3315.57
2020-09-23,,,,3236.92
2020-09-24,,,,3246.59
2020-09-25,,,,3298.46
2020-09-28,,,,3351.6
2020-09-29,,,,3335.47
2020-09-30,,,,3363.0
2020-10-01,,,,3380.8
2020-10-02,,,,3348.44
2020-10-05,,,,3408.63
2020-10-06,,,,3360.95
2020-10-07,,,,3419.45
2020-10-08,,,,3446.83
2020-10-09,,,,3477.13
2020-10-12,,,,3534.22
2020-10-13,,,,3511.93
2020-10-14,,,,3488.67
2020-10-15,,,,3483.34
2020-10-16,,,,3483.81
2020-10-19,,,,3426.92
2020-10-20,,,,3443.12
2020-10-21,,,,3435.56
2020-10-22,,,,3453.49
2020-10-23,,,,3465.39
2020-10-26,,,,3400.97
2020-10-27,,,,3390.68
2020-10-28,,,,3271.03
2020-10-29,,,,3310.11
2020-10-30,,,,3269.96
2020-11-02,,,,3310.24
2020-11-03,,,,3369.16
2020-11-04,,,,3443.44
2020-11-05,,,,3510.45
2020-11-06,,,,3509.44
2020-11-09,,,,3550.5
2020-11-10,,,,3545.53
2020-11-11,,,,3572.66
2020-11-12,,,,3537.01
2020-11-13,,,,3585.15
2020-11-16,,,,3626.91
2020-11-17,,,,3609.53
2020-11-18,,,,3567.79
2020-11-19,,,,3581.87
2020-11-20,,,,3557.54
2020-11-23,,,,3577.59
2020-11-24,,,,3635.41
2020-11-25,,,,3629.65
2020-11-27,,,,3638.35
2020-11-30,,,,3621.63
2020-12-01,,,,3662.45
2020-12-02,,,,3669.01
2020-12-03,,,,3666.72
2020-12-04,,,,3699.12
2020-12-07,,,,3691.96
2020-12-08,,,,3702.25
2020-12-09,,,,3672.82
2020-12-10,,,,3668.1
2020-12-11,,,,3663.46
2020-12-14,,,,3647.49
2020-12-15,,,,3694.62
2020-12-16,,,,3701.17
2020-12-17,,,,3722.48
2020-12-18,,,,3709.41
2020-12-21,,,,3694.92
2020-12-22,,,,3687.26
2020-12-23,,,,3690.01
2020-12-24,,,,3703.06
2020-12-28,,,,3735.36
2020-12-29,,,,3727.04
2020-12-30,,,,3732.04
2020-12-31,,,,3756.07
2021-01-04,,,,3700.65
2021-01-05,,,,3726.86
2021-01-06,,,,3748.14
2021-01-07,,,,3803.79
2021-01-08,,,,3824.68
2021-01-11,,,,3799.61
2021-01-12,,,,3801.19
2021-01-13,,,,3809.84
2021-01-14,,,,3795.54
2021-01-15,,,,3768.25
2021-01-19,,,,3798.91
2021-01-20,,,,3851.85
2021-01-21,,,,3853.07
2021-01-22,,,,3841.47
2021-01-25,,,,3855.36
2021-01-26,,,,3849.62
2021-01-27,,,,3750.77
2021-01-28,,,,3787.38
2021-01-29,,,,3714.24
2021-02-01,,,,3773.86
2021-02-02,,,,3826.31
2021-02-03,,,,3830.17
2021-02-04,,,,3871.74
2021-02-05,,,,3886.83
2021-02-08,,,,3915.59
2021-02-09,,,,3911.23
2021-02-10,,,,3909.88
2021-02-11,,,,3916.38
2021-02-12,,,,3934.83
2021-02-16,,,,3932.59
2021-02-17,,,,3931.33
2021-02-18,,,,3913.97
2021-02-19,,,,3906.71
2021-02-22,,,,3876.5
2021-02-23,,,,3881.37
2021-02-24,,,,3925.43
2021-02-25,,,,3829.34
2021-02-26,,,,3811.15
2021-03-01,,,,3901.82
2021-03-02,,,,3870.29
2021-03-03,,,,3819.72
2021-03-04,,,,3768.47
2021-03-05,,,,3841.94
2021-03-08,,,,3821.35
2021-03-09,,,,3875.44
2021-03-10,,,,3898.81
2021-03-11,,,,3939.34
2021-03-12,,,,3943.34
2021-03-15,,,,3968.94
2021-03-16,,,,3962.71
2021-03-17,,,,3974.12
2021-03-18,,,,3915.46
2021-03-19,,,,3913.1
2021-03-22,,,,3940.59
2021-03-23,,,,3910.52
2021-03-24,,,,3889.14
2021-03-25,,,,3909.52
2021-03-26,,,,3974.54
2021-03-29,,,,3971.09
2021-03-30,,,,3958.55
2021-03-31,,,,3972.89
2021-04-01,,,,4019.87
